Alberta Medieval Settlement, 403-689-9426, silverhorsejen@hotmail.com, , Box49152OgdenCalgaryABT2C3W5 
Canada Winter Games , 403-872-0659, lnaldrett@2019canadagames.ca, , CalgaryAirportCalgaryABT2E6Z8 
Calgary Safety Council, 403-287-2990, safetyc@calgarysafetycouncil.com, https://www.calgarysafetycouncil.com/, POBox37061RPOMaylandHeightsNECalgaryABT2E8V1 
Calgary Region Airshed Zone Society, 403-968-5522, tanya.carlson@craz.ca, www.craz.ca, A13,61202ndStSECalgaryABT2H2L8 
Canada's Sports Hall of Fame, 403-776-1063, skelly@cshof.ca, http://www.sportshall.ca/, 169CanadaOlympicRdSWCalgaryABT3B6B7 
Calgary Talking Toastmasters, 587-885-1119, princeton_lau@hotmail.com, http://calgarytalking.toastmastersclubs.org/, 550-6thAveS.W.CalgaryABT2P0S2 
Calgary Ski Club, 403-282-4122, office@calgaryskiclub.org, www.calgaryskiclub.org, 227ArbourRidgeWayNWCalgaryABT3G3Z3 
Canadian Association for Participatory Development (CAPD), 403-202-0673, wiens.me@gmail.com, www.capdcalgary.org, 44ScanlonPlaceNWCalgaryABT3L1V8 
Canadian Animal Task Force, 403-830-9644, volunteers@cataskforce.org, abtaskforce.org, BayF,3851-21StreetN.E.CalgaryABT2E6T5 
Calgary Youth Justice Society, 403-808-6325, tclem@cyjs.ca, https://calgaryyouthjustice.ca/, Suite900,6207AveSWcalgaryABT2P0Y8 
Calgary World Health Organization Simulation, 403-671-6634, info@calwho.org, , 3330HospitalDriveNWCalgaryABT2N4N1 
Chestermere Regional Food Bank Foundation, 403-273-0777, m.oel@outlook.com, www.chestermerefoodbank.ca, #105,100RainbowRoadChestermereABT1X0V2 
Children's Wish Foundation of Canada - Alberta Chapter, 403-265-9039, denise.legeyt@childrenswish.ca, www.childrenswish.ca, 270,2323-32AvenueN.E.CalgaryABT2E6Z3 
Children's Link Society, The, 403-230-9158, tannis.sigfusson@childrenslink.ca, www.childrenslink.ca, #211-8855MacLeodTrailSWCalgaryABT2H0M2 
Clifton Manor (Div. Brenda Strafford Foundation), 587-952-6036, CM.volunteer@thebsf.ca, www.thebsf.ca, 4726-8aveSECalgaryABT2A0A8 
CJSW - University of Calgary Student Radio Society, 403-220-6563, volunteer@cjsw.com, cjsw.com, Rm312MacEwanHall,2500UniversityDrNWCalgaryABT2N1N4 
Cochrane Activettes, 403-932-9290, info@cochraneactivettes.com, https://www.cochraneactivettes.com, 30GriffinIndustrialPointCochraneABT4C0A2 
Chic Geek, 403-971-8413, jane.whitton@thechicgeek.ca, www.thechicgeek.ca, WorkNicer6308AveSW#600CalgaryABT2P1G6 
City of Calgary - Community Services, 403-268-2489, parksvolunteer@calgary.ca, www.calgary.ca, POBox2100StnMCalgaryABT2P2M5 
ChatterBox Theatre Society, 587-356-1573, contact@chatterboxtheatresociety.com, https://www.chatterboxtheatresociety.com/, 165MTLorettePlaceSECalgaryABT2Z2M1 
CommunityWise Resource Centre (Formerly the Old Y Centre), 403-261-9660, erin@communitywise.net, www.communitywise.net, 22312AvenueSWCalgaryABT2R0G9 
Cochrane and Area Events Society, 403-805-4482, caes.volunteer@gmail.com, http://www.cochraneevents.ca/, 209SecondAvenueWCochraneABT4C2K8 
Children's Cottage Society, 403-233-2680, pbannerman@childrenscottage.ab.ca, www.childrenscottage.ab.ca, 845McDougallRoadN.E.192128THStreetS.W.CalgaryABT2E5A5 
Closer to Home Community Services, 403-543-0550, volunteer@closertohome.com, www.closertohome.com, 3507A17AvenueSWCalgaryABT3E0B6 
Children's International Summer Villages (CISV), 403-512-4041, volunteers@cisvcalgary.org, www.cisvcalgary.com, 223-12thAveS.W.CalgaryABT2R0G9 
City of Calgary, 403-268-2489, jeff.louis@calgary.ca, www.calgary.ca/volunteer, P.O.Box2100,Stn.MCalgaryABT2P2M5 
Cochrane Society for Housing Options, 403-851-2261, cburns@csho.ca, www.csho.ca, 2092AveWestCochraneABABT4C2K8 
Commissionaires of Southern Alberta, 403-815-0317, colleen@poundglobal.com, https://commissionaires-sa.ca, 110753AVENECalgaryABT2E6X9 
Columbia Learning Society, 403-235-9300, jocelyney@columbia.ab.ca, , 802ManningRoadNECalgaryABT2E7N8 
Cochrane & Area Humane Society, 403-932-2072, shelter@cochranehumane.ca, www.cochranehumane.ca, 62GriffinIndustrialPointCochraneABT4C0A3 
Colour Factor, 587-284-8051, welcome@thecolourfactor.com, https://www.eventbrite.ca/e/the-colour-factor-presents-heart-work-tickets-90550895165?utm-medium=discovery&utm-campaign=social&utm-content=attendeeshare&aff=escb&utm-source=cp&utm-term=listing, 508-91710thAveSWCalgaryABT2R0T2 
Children's Birthday Miracles, 403-827-2871, sairosekassam@hotmail.com, www.childrensbirthdaymiracles.com, 192128thStSWCalgaryABT3E2H1 
Community Mediation Calgary Society, 403-269-2707, membership@communitymediation.ca, www.communitymediation.ca, AcrosstheCityCalgaryABT2E6X3 
Community Connections During COVID-19, 123-456-7890, connecting@covid19.org, , 123410aveCalgaryABT2T1G9 
Community LAMDA, 403-252-7991, shklar@shaw.ca, http://mylamda.com/, 5920MacleodTrailSECalgaryABT2V2P6 
Dancers' Studio West, 403-244-0950, businessmanager@dswlive.ca, www.dswlive.ca, cSPACEKingEdward172129CalgaryABT2T1P5 
CUPS Health Education Housing, 403-970-9776, jessicak@cupscalgary.com, www.cupscalgary.com, 1001-10AveSwCalgaryABT2R0B7 
Contemporary Calgary, 403-770-1350, info@contemporarycalgary.com, https://www.contemporarycalgary.com, 900,10512AvenueSWCalgaryABT2G1A1 
Draft Horse Town , 403-616-3678, kmmorrison@shaw.ca, drafthorsetown.com, CalgaryStampedeCalgaryABT3H4T2 
Cornerstone Youth Centre, 403-452-9620, darlene@cyccalgary.com, https://www.cornerstoneyouthcentre.com/, 90419StreetNECalgaryABT2E4X7 
Cowtown Opera Company Society, 403-479-5989, bethany@cowtownopera.com, www.cowtownoperacompany.com, Misc.venuelocationsTypicallycentralCalgaryABT2G2E6 
Covenant Care, 587-230-5500, theresa.bellows@covenantcare.ca, http://www.covenantcare.ca/, 70/110EvansparkManorNWCalgaryABT3P0N4 
Downstage Performance Society, 403-294-7459, clare@downstage.ca, www.downstage.ca, 2058AvenueSECalgaryABT2G0K9 
Crossing the Divide Experience Ltd, 403-554-3474, ken_schmaltz@yahoo.com, https://www.crossingthedivideexperience.org/, CashCasinoCalgaryABT2G4E6 
Deaf and Hear Alberta, 403-284-6200, info@deafandhearalberta.ca, , 63CornellRoadNWCalgaryABT2L0L4 
Duke of Edinburgh's International Award - AB, NT & NU, 403-237-7476, cbender@theaward.ca, https://www.dukeofed.org/, 111,4515BowTrailSWCalgaryABT3C2G3 
Conseil de développement économique de l'Alberta, 403-802-0880, maud@francopreneurs.ca, https://lecdea.ca/, 940,10512AveSE,Calgary,ABT2G1A1CALGARYABT2G1A1 
Confederation Park 55+ Activity Centre, 403-289-4780, cv@yycseniors.com, yycseniors.com, 221213thSt.NWCalgaryABT2M4P7 
Diabetes Canada, 403-266-0620, volunteeralberta@diabetes.ca, diabetes.ca, 22062232ndStreetCalgaryABT2H1J5 
Downtown West Community Association, 403-680-3145, president@dwca.ca, dwca.ca, VertualCalgaryABT2P5N3 
Create Kids Arts Society, 403-404-1335, volunteer@createkids.ca, createkids.ca, 20232aveNWCalgaryABT2N0G6 
Decidedly Jazz Danceworks, 403-228-8183, scarson@decidedlyjazz.com, https://www.decidedlyjazz.com, 11112AveSECalgaryABT2G0Z9 
DDRC - Developmental Disabilities Resource Centre of Calgary, 403-240-3111, volunteer@ddrc.ca, www.ddrc.ca, 4631RichardsonWaySWCalgaryABT3E7B7 
Disabled Sailing Association of Alberta, 403-238-0689, dsaalberta@gmail.com, www.dsaalberta.org, 841524thStreetS.W.SouthGlenmoreparkCalgary,ABABT2W1B4 
Distress Centre, 403-266-1634, volunteer@distresscentre.com, www.distresscentre.com, 10108thaveS.w.CalgaryABT2P1J2 
Duhaa Foundation, 587-917-6392, duhaafoundation@gmail.com, https://sites.google.com/view/duhaafoundation/home?fbclid=IwAR1xDneu6KsjlAPNfWAU2AUkYS5g3QKsNW6wX_ZWa-uXNtp3222Mx0011zo, N/ACalgaryABT3A6B4 
Cystic Fibrosis Canada - Calgary and Southern Alberta Chapter, 403-266-5295, kjakeman@cysticfibrosis.ca, http://cfcalgary.ca/ShiftRegistration.aspx, 1130F44AveSECalgaryABT2G4W6 
Dubasov Dance and Wellness, 403-452-7600, dubasov.pdc@gmail.com, dubdw.com, 632512St.SECalgaryABT2H2K1 
Dress For Success, 403-225-8555, dfscrecruiting@gmail.com, https://calgary.dressforsuccess.org/, 100814StSECalgaryABT2G3K3 
Eastside Victory Outreach Church, 403-273-1050, mkmdkruger@gmail.com, https://www.victoryoutreach.ca/, 184038St.SECalgaryABT2B0Z3 
Extendicare, 403-249-8915, bmcgregor@extendicare.com, , ExtendicareCedarsVilla-3330-8AvenueSW,Calgary,AlbertaT3C0E7ExtendicareHillcrest-1512-8AvenueNW,Calgary,AlbertaT2N1C1CalgaryABT3C0E7 
The Educational Partnership Foundation, 403-457-5822, Cleo.Howe@tepf.ca, https://tepf.ca/, 60211AveSWSuite412CalgaryABT2R1J8 
Edge School Foundation, 403-710-4212, dsilver@edgeschool.com, edgeschool.com, 33055TownshipRd250CalgaryABT3Z1L4 
FAMILIES OF ALBERTA FOR CONDUCTIVE EDUCATION (FACE), 587-830-3223, admin@conductive-education.ca, www.facealberta.ca, #1612512thStreetSECALGARYABT2H2K1 
Elbow River Watershed Partnership, 403-268-4520, coordinator@erwp.org, www.erwp.org, SpringGardens,BuildingDCalgaryABT2P2M5 
Festival Chorus, 587-434-9300, president@thefestivalchorus.com, www.thefestivalchorus.com, ArtsCommons2058AveSECalgaryABT2G0K9 
Fairview Community Association, 403-252-5424, office@fairviewcommunity.ca, https://fairviewcommunity.ca, Box78053RPOHeritageCalgaryABT2H2Y1 
EducationMatters, 403-817-7468, info@educationmatters.ca, https://www.educationmatters.ca, 12218StSWCalgaryABT2R0L4 
Epilepsy Association of Calgary, 403-230-2764, kathyf@epilepsycalgary.com, www.epilepsycalgary.com, 3164014MacleodTrailS.E.CalgaryABT2G2R7 
Empowering Minds , 403-718-1264, volunteers@empoweringminds.org, empoweringminds.org, 60PanatellaRiseNWCalgaryABT3K0H2 
Eugene Costs Enrichment Society, 403-463-1988, ECSEnrichmentSociety@gmail.com, http://school.cbe.ab.ca/school/eugenecoste/Pages/default.aspx, 10HillgroveCresecentSWCalgaryABT2V3K7 
Fig Tree Foundation, 000-000-0000, hr1@figtreefoundation.com, www.figtreefoundation.com, Suite400,11914thStreetNWCalgaryABT2N1Z6 
Esker Foundation, 403-930-2492, mkerluke@eskerfoundation.com, www.eskerfoundation.com, 444,1011-9thAveSECalgaryABT2G0H7 
Elder Statesmen Group, 403-265-4492, ESGManager@outlook.com, www.ElderStatesmenGroup.com, 7171AveSWCalgaryABT2P3B5 
Famous 5 Foundation, 403-253-1927, volunteer@famous5.ca, http://www.famou5.ca/, BOX72137,RPOGlenmoreLandingCalgaryABT2V5H9 
EMS Foundation, 587-432-2050, emsftreasurer@gmail.com, www.emsfoundation.ca, 370535StNECalgaryABT1Y6C2 
Elbow Park Resident's Association, 403-680-2392, margo@coppus.ca, elbow park.com, 80034AveSWCalgaryABT2T2A3 
Elements Calgary Mental Health Centre, 403-266-8711, info@elementscmhc.ca, www.elementscmhc.ca, ElementsCalgaryMentalHealthCentre10357AvenueSWCalgaryABT2P3E9 
Elizabeth Fry Society of Calgary, The, 587-391-0141, courtvolunteer@elizabethfrycalgary.ca, http://elizabethfrycalgary.ca/get-involved/, 1731–10AvenueSWCalgaryABT3C0K1 
Families Matter Society, 403-205-5178, Reception@familiesmatter.ca, http://familiesmatter.ca/, #158,1440-52StreetNECalgaryABT2A4T8 
Energy For All, 403-630-1395, roselyn@energyforall.ca, www.energyforall.ca, #600,5405thAvenueSWCalgaryABT2P0M2 
Ferret Rescue & Education Society (FRES), 403-567-3737, volunteers@ferrets.ca, www.ferrets.ca, ContactusfordetailsCalgaryABT2A4T8 
Evict Radon, 403-836-2635, info@evictradon.org, www.evictradon.org, 3230HospitalDrNWCalgaryABT2N4Z6 
Forensic Adolescent Program, 403-297-7756, marylee.block@ahs.ca, , CommunityCalgaryABT1Y5S3 
Floating Lantern Ceremony, 403-869-6276, eamery@hotmail.com, http://ploughsharescalgary.ca/2019-summer-event/, 29198thAvenueNWCalgaryABT2N1C8 
F.O.C.U.S on Seniors, 403-816-8145, info@focusonseniors.ca, www.focusonseniors.ca, 138CoralshoresCapeN.E.CalgaryABT3J3T8 
Fort Calgary Preservation Society, 403-290-1875, engage@fortcalgary.com, www.fortcalgary.com, 7509AveSECalgaryABT2G5E1 
Foothills Wanderers Orienteering Club, 403-284-3598, secretary@orienteeringcalgary.ca, orienteeringcalgary.ca/, ThereisnophysicaladdressCalgaryABT2M3X9 
First Lutheran Church, 403-242-4544, Kevin@MakingFaithMatter.ca, www.makingfaithmatter.ca, 7102–14AveSWCalgaryABT3H4G7 
Foundation of St. Teresa of Calcutta, 403-921-5916, brittneyrusso3@gmail.com, https://m.signupgenius.com/#!/showSignUp/805084eabaa28a0fa7-stteresa, 121MidlakeBlvdseCalgaryABT2X0A7 
Foothills Bluegrass Music Society, 403-852-3952, sueholt93@gmail.com, https://foothillsbluegrass.com/, CalgaryIrishCulturalCentre645235AveNWCalgaryABT3B1S4 
Ghost River Theatre Society, 403-242-7118, gm@ghostrivertheatre.com, ghostrivertheatre.com, 200710AveSWCalgaryABT3C0K4 
Foothills Creative Beginnings, 403-999-1209, marla.ferg@foothillscreative.org, creativebeginnings.ca, 1530NorthmountDrNWCalgaryABT2L0G6 
Folk Festival Society of Calgary, 403-233-0904, emily@calgaryfolkfest.com, https://www.calgaryfolkfest.com/get-involved/volunteer, Prince'sIslandPark698EauClaireAveSWCalgaryABT2P5N4 
Freedom Tree, 403-667-0831, tara@freedomtree.ca, http://freedomtree.ca, Suite208,10119thAveSECalgaryABT2G0H7 
Four Feet Companion Foundation, 403-370-5753, volunteer@fourfeet.org, www.fourfeet.org, 17aveswCalgaryABT2T0X7 
FUNNYFEST Calgary Comedy Festival Society, 403-228-7888, volunteers@funnyfest.com, https://FunnyFest.com, 11differentvenuesinCalgaryCalgaryABT2P1B7 
Forte Musical Theatre Guild, 587-393-6121, info@fortemusical.ca, https://www.fortemusical.ca/, cSPACEKingEdward172129thAveSWSuite480CalgaryABT2T6T7 
FIRST Robotics Society, 403-560-2596, volunteers@frcwest.com, www.frcwest.com, GenesisCentre7555FalconridgeBlvdNE#10CalgaryABT3J0C9 
Foothills Community Immigrant Services, 403-938-4699, mnadeau@ccisab.ca, https://www.ccisab.ca/services/rural-alberta-services/okotoks.html, Office4-Bay2,87ElizabethStreetOkotoksABT1S1B3 
Four: Thirteen Therapeutic Riding Association, 403-805-4633, volunteer.fourthirteentherapy@gmail.com, https://www.413therapeuticriding.com/, HighCountryEquestrianCenter240020RangeRoad42CalgaryABT3Z2X3 
Food for Peace Society of Calgary, 403-717-8278, foodforpeace-calgary@hotmail.com, , https://www.meetup.com/Food-For-Calgary/CalgaryABT2A7Y8 
Foothills Community Wellness Association, 587-224-3482, foothillsommunitywellness@gmail.com, www.foothillscommunitywellness.ca, 4448FrontStreetSECalgaryABT3M1M4 
Fresh Routes Inc., 403-619-6373, lourdesjuan@me.com, https://freshroutes.ca, #300,15505StreetSWCalgaryABT2R1K3 
Foundation for Advancement of Education in Myanmar, 403-474-9455, fae.myanmar@gmail.com, , 92TaraglenRoadCalgaryABT3J2M3 
Free Your Mind Mental Health Society, 403-617-2587, fym.initiative@gmail.com, https://freeyourmindinitiative.com/, 1408MardaleDrNECalgaryABT2A3M4 
Friends of Fish Creek Provincial Park Society, 403-238-3841, info@friendsoffishcreek.org, https://friendsoffishcreek.org/, 15975BowBottomTrailSECalgaryABT2P2M7 
Gold Mind Project, 403-589-3593, anca.m.dan@gmail.com, http://goldmindproject.com, Suite2000,1259thAvenueSE.CalgaryABT2G0P6 
Girls Hockey Calgary Association, 403-278-9223, admin@girlshockeycalgary.com, www.girlshockeycalgary.com, 299ErinWoodsDriveS.E.CalgaryABT2B2V9 
Hangar Flight Museum (formerly Aero Space Museum Association of Calgary), 403-250-3752, volunteer@thehangarmuseum.ca, http://www.thehangarmuseum.ca/, 4629McCallWayNECalgaryABT2E8A5 
Green Calgary, 403-230-1443, lex@greencalgary.org, http://www.greencalgary.org/, #100,301-14thSt.NWCalgaryABT2N2A1 
Heart and Stroke Foundation of Alberta & NWT, 403-351-7037, sarah.stephens@heartandstroke.ca, http://www.heartandstroke.ca, 11914thStreetNWCalgaryABT2N1Z6 
Hakili Community for Sustainable Development, 403-690-8061, info@hakiliworld.org, http://www.hakiliworld.org, 22312AveSWCalgaryABT2R0G9 
Hidden Valley Community Association, 403-275-9394, volunteers@albertasciencenetwork.ca, www.hiddenhut.org, 10504HiddenValleyDrCalgaryABT3A4Z2 
Heart & Stroke Foundation, 403-351-7073, alison.planche@heartandstroke.ca, heartandstroke.ca/help, 11914StNWSuite100CalgaryABT2N1Z6 
Heart & Stroke Foundation Calgary Office, 403-351-7071, justin.leeson@heartandstroke.ca, www.heartandstroke.ca, 100-11914thStreetNWCalgaryABT2N1Z6 
Gymtastics Play-it-Forward Projects, 403-275-2660, contact@playitforward.ca, http://www.playitforward.ca, Suite166,7260-12StSECalgaryABT2H2S5 
Helping Families Handle Cancer Foundation, 403-850-5477, carie@helpingfamilieshandlecancer.com, www.helpingfamilieshandlecancer.com, POBox91052,1258888CountryHillsBlvdNWCalgaryABT3G5T0 
Heart and Solar, 403-464-2084, rslaney@heartandsolar.ca, heartandsolar.ca, 105310StreetSWCalgaryABT2R1S6 
Habitat for Humanity Southern Alberta, 403-253-9331, volunteer@habitatsouthernab.ca, www.habitatsouthernab.ca, Opportunitiesinvariouslocationsoffice:210,805ManningRdNECalgaryABT2E7M8 
HELP Bolivia Foundation, 403-607-1879, info@helpbolivia.org, https://helpbolivia.org/, 20MonarchGateAirdrieABT4A1W7 
Grace Presbyterian Church, 403-244-5861, cindys@gracecalgary.org, https://gracechurchcalgary.com/, 100915thAvenueSWCalgaryABT2R0S5 
Helping Hands Society of Cochrane & Area, 587-580-9448, programsmanager@helpinghandscochrane.ca, www.helpinghandscochrane.ca, 2092ndAveWestCochraneABT4C1B1 
Good Companions 50 Plus Club, 403-249-6991, gc50plus@gmail.com, www.gc50plus.org, 260919AVESWCALGARYABT3E0E9 
Hands at Work in Africa (Canada) Society, 408-808-7767, kristal@ca.handsatwork.org, www.handsatwork.org, 42518StreetNWCalgaryABT2N2G6 
Highbanks Society, 403-521-0082, info@highbankssociety.ca, http://highbankssociety.ca/, 317–19thSt.NWCalgaryABT2N2J2 
Glenbow Museum, 403-268-4105, volunteer@glenbow.org, http://www.glenbow.org, 1309AveSECalgaryABT2G0P3 
Grey Dog Foundation, 403-519-5000, grant@greydogfoundation.com, www.greydogfoundation.com, Suite202,58192ndStreetSWCalgaryABT2H0H3 
Heritage Park Historical Village, 403-268-8610, volunteer@heritagepark.ca, http://www.heritagepark.ca/join-our-team.html, 1900HeritageDriveSWCalgaryABT2V2X3 
Hillhurst - Sunnyside Community Association, 403-283-0554, sarah.h@hsca.ca, www.hsca.ca, 13205AvenueNWCalgaryABT2N0S2 
Highland Park Community Association, 403-276-6969, vicepresident@highlandparkcommunity.ca, www.highlandparkcommunity.ca, 3716-2ndStreetNWCalgaryABT2K0Y4 
INSTRUMENTAL SOCIETY OF CALGARY, 844-598-1273, volunteers@instrumentalsociety.ca, www.instrumentalsociety.ca, St.Stephen'sAnglicanChurch1121-14thAvenueSWCalgaryABT2R0P3 
HomeSpace Society, 587-320-1545, volunteer@homespace.org, , Suite1000,5405AveSWCalgaryABT2P0M2 
Horizon Housing Society, 403-305-9913, jayneo@horizonhousing.ab.ca, www.horizonhousing.ab.ca, 1150035StSE#1000CalgaryABT2Z3W4 
Humanity's Promise Int'l, 403-926-5646, john@humanityspromise.com, humanityspromise.com, 20WestCallawayPlaceCochraneABT4C1L7 
HIV Community Link, 403-508-2536, JKroschinsky@hivcl.org, http://www.hivcl.org/volunteer/, 110–160310AveSW,CalgaryABT3C0J7 
Hope in the Dark, 780-278-7509, danielle.canas@hopeinthedark.ca, www.hopeinthedark.ca, 15SkyviewPointlinkNECalgaryABT3N0L7 
Northern Hills Community Association, 403-226-6422, info@nhca.ca, http://www.nhca.ca/, 11950CountryVillageLinkNortheastNorthernHillsCalgaryABT3K6E3 
Inside Out Theatre, 403-797-1119, kirk@insideouttheatre.com, http://www.insideouttheatre.com/, VariousplacesthroughoutCalgaryMostlytheatresCalgaryABT2T1G6 
Hospice Calgary Society, 403-284-5195, marie.wong@hospicecalgary.ca, http://www.hospicecalgary.ca/, 9207AStNWCalgaryABT2M3J3 
The Immigrant Education Society (TIES), 403-235-3666, priscillalee@immigrant-education.ca, https://www.immigrant-education.ca, 1723-40St.SECalgaryABT2A7Y3 
Hope Mission, 403-474-3237, calgary.community@hopemission.com, www.hopemission.com, 4869HubaltaRoadSECalgaryABT2B1T5 
Huntington Society Southern Alberta Chapter, 403-404-4166, hdcalgary@gmail.com, https://southernalbertahd.ca/?fbclid=IwAR1LhWMtpRIVUweaq9EGVkAQu3rdiWOs8_EqCmp4V0Qja4npw_XS0KTW3ik, 36022StreetNWCalgaryABT2K0Y2 
Hull Services, 403-238-7967, mboston@hullservices.ca, www.hullservices.ca, 2266WoodparkAveSWCalgaryABT2W2Z8 
Immigrant Services Calgary, 403-538-8355, tyzena@immigrantservicescalgary.ca, www.immigrantservicescalgary.ca, 1200-9107AveSWCalgaryABT2P3N8 
Humanity in Practice, 403-201-5488, hip@shaw.ca, http://www.behip.ca, FromwhereyouareCalgaryABT2V4P3 
Independent Living Resource Centre of Calgary, 403-263-6880, ed@ilrcc.ab.ca, www.ilrcc.ab.ca, 134,335927StreetNECalgaryABT1Y5E4 
Inn From the Cold Society, 403-473-5582, volunteer@innfromthecold.org, www.innfromthecold.org, 110,11AveSECalgaryABT2G0X5 
In-Definite Arts Society, 403-253-3174, karly.mortimer@ouriac.ca, www.ouriac.ca, 8038FairmountDr.SECalgaryABT2H0Y1 
Independent Living Resource Centre Calgary, 403-263-6880, PEP@ilrcc.ab.ca, https://www.ilrcc.ab.ca/, #134,3359-27StreetNECalgaryABT1Y5E4 
Imagine Cities, 647-297-9276, talent@imaginecities.com, www.imaginecities.com, 4447AveSWCalgaryABT2P0X8 
Intercare Corporate Group-Southwood Care Centre, 403-255-4969, kmerkowsky@intercarecorpgroup.com, www.intercarealberta.com, 505-5920MacleodTrailSWCalgaryABT2H0K0 
Irish Cultural Society of Calgary, 403-288-8641, calgaryics@gmail.com, https://www.calgaryics.org, IrishCulturalSociety645235AveNWCalgaryABT3B1S6 
IntegralOrg, 888-315-0933, learn@integralorg.ca, https://integralorg.ca/, #802,5920MacleodTrailSWCalgaryABT2H0K2 
Jamie's Preschool, 403-831-2164, admin@jamiespreschool.ca, www.jamiespreschool.ca, 3303CapitolHillCrescentNWCalgaryABT2M2R2 
Kindred Cochrane, 587-436-2709, kindredcochrane@gmail.com, https://kindredcochrane.com/, CochraneCochraneABT4C2P2 
Kinsmen Club of Calgary, 403-265-4595, volunteers@kinsmenclubofcalgary.com, Www.kinsmenclubofcalgary.com, POBox46066,RPOInglewoodCalgaryABT2G5H7 
Kamala Foundation for Women and Children, 403-874-3683, zachary@kamalafoundation.org, www.kamalafoundation.org, 62ScenicParkCrescentNWCalgaryABT3L1R6 
Junior Achievement Southern Alberta, 403-237-5252, programs@jasouthalberta.org, http://jasab.ca/, 870,10512AvenueSECalgaryABT2G1A1 
Kids Cancer Care Foundation of Alberta, 403-984-1222, stahn@kidscancercare.ab.ca, www.kidscancercare.ab.ca, 57574thStreetSECalgaryABT2H1K8 
Kerby Centre, 403-234-6570, volunteer@kerbycentre.com, www.kerbycentre.com, 11337thAveSWCalgaryABT2P1B2 
Junior League of Calgary, 403-244-5355, jlc@juniorleaguecalgary.com, www.juniorleaguecalgary.org, 51122ndAve.SWCalgaryABT2S0H5 
Jazz Is Society of Alberta, 403-862-7247, bobacton@obairleadership.com, www.jazzyyc.com, 2ndFloor,12309Ave.S.E.CalgaryABT2G0T1 
Kids Help Phone (Calgary Chapter), 403-476-0386, carolina.bejarano@kidshelpphone.ca, www.kidshelpphone.ca, 225-15505StSWCalgaryABT2R1K3 
KidSport Calgary, 403-202-0251, becca@kidsportcalgary.ca, www.kidsport.ca/calgary, 750,24244thStreetSWCalgaryABT2S2T4 
Killarney Glengarry Community Association, 403-604-8709, pres@killarneyglengarry.com, https://www.killarneyglengarry.com, 282828thstS.W.CalgaryABT3E2J3 
Jewish Family Service Calgary, 403-692-6392, jamier@jfsc.org, http://www.jfsc.org, #4205920-1AStreetSWCalgaryABT2H0G3 
The Kidney Foundation of Canada, 403-255-6108, susan.reghenas@kidney.ca, www.kidneymarch.ca, 60071AStreetSWCalgaryABT2H0G5 
Leftovers Foundation, 000-000-0000, help@rescuefood.ca, https://rescuefood.ca, #300,15505StreetSWCalgaryABT2R1K3 
Knight's Cabin, 403-688-4554, info@knightscabin.com, http://www.knightscabin.com/, #275,10011stStreetSECalgaryABT2G5G3 
L'Arche Association of Calgary, 403-930-2271, bford@larchecalgary.org, http://www.larchecalgary.org, 30757AveSWCalgaryABT2H2T6 
Kids Up Front Calgary, 403-444-4318, carissa@kidsupfront.com, http://www.kidsupfrontcalgary.com/, 110,10512AvenueSECalgaryABT2G1A1 
Father Lacombe Care Society, 403-256-4641, info@fatherlacombe.ca, http://www.fatherlacombe.ca/, FatherLacombeCareCentre270ProvidenceBLVDSEProvidenceCareCentre149ProvidenceBLVDCalgaryABT2X0V6 
Lean In Canada - Calgary Chapter, 403-830-1471, Susan.Elford@leanincanada.com, www.leanincanada.com/calgary, VariableCalgaryABT2V2L8 
JDRF, 403-255-7100, ltan@jdrf.ca, http://www.jdrf.ca/locations/alberta-north-west-territories/southern-alberta/, #300172510AvenueSWCalgaryABT3C0K1 
Janus Academy, 403-472-8098, rmpound@gmail.com, http://janusacademy.org/, JanusAcademy2223SpillerRd.S.ECalgaryABT2G4G9 
K O Arts Centre Society of Calgary, 403-242-2472, info@koac.org, http://www.koartscentre.org/, 244034HorizonViewRoadCalgaryABT3Z3M5 
The Kidney Foundation, Southern AB Branch, 403-255-6108, susan.reghenas@kidney.ca, www.kidneymarch.ca, 60071ASTSWCalgaryABT2H0G5 
Theatre Junction GRAND, 403-205-2922, volunteer@theatrejunction.com, http://www.theatrejunction.com/, 6081stSWCalgaryABT2P1M6 
Lupus Society of Alberta, 888-242-9182, lupuslsa@shaw.ca, http://www.lupus.ab.ca, LupusSocietyofAlbertaSuite802-5920MacleodtrailsouthCalgaryABT2H0K2 
Missing Children Society of Canada, 403-291-0705, bmantle@mcsc.ca, www.mcsc.ca, #219,3501-23stNECalgaryABT2E6V8 
Lunchbox Theatre, 403-265-4292, audience.services@lunchboxtheatre.com, , 1159AveSESuite160CALGARYABT2G0P5 
Marda Loop Justice Film Festival Society, 587-434-1669, admin@justicefilmfestival.ca, http://www.justicefilmfestival.ca, 381814aStSWCalgaryABT2T3Y2 
Lougheed House Conservation Society, 403-244-6333, hrohm@lougheedhouse.com, www.lougheedhouse.com, LougheedHouseNationalandProvincialHistoricSite70713thAvenueSWCalgaryABT2R0K8 
Missing Children Society of Canada, 905-730-5217, rbrown@mcsc.ca, www.mcsc.ca, 1270-73AveSECalgaryABT2H2V5 
Medical Mercy Canada, 403-717-0933, admin@medicalmercycanada.org, www.medicalmercycanada.org, Bay61216-34thAveNECalgaryABT2E6L9 
